ID,City,Price,Day,Room Type,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
1,Amsterdam,€ 194.03,Weekday,Private room,2,FALSE,1,0,10,93,1,5.02,2.54
2,Amsterdam,€ 344.25,Weekday,Private room,4,FALSE,0,0,8,85,1,0.49,0.24
3,Amsterdam,€ 264.10,Weekday,Private room,2,FALSE,0,1,9,87,1,5.75,3.65
4,Amsterdam,€ 433.53,Weekday,Private room,4,FALSE,0,1,9,90,2,0.38,0.44
5,Amsterdam,€ 485.55,Weekday,Private room,2,TRUE,0,0,10,98,1,0.54,0.32
6,Amsterdam,€ 552.81,Weekday,Private room,3,FALSE,0,0,8,100,2,2.13,1.90
7,Amsterdam,€ 215.12,Weekday,Private room,2,FALSE,0,0,10,94,1,1.88,0.73
8,Amsterdam,"€ 2,771.31",Weekday,Entire home/apt,4,TRUE,0,0,10,100,3,1.69,1.46
9,Amsterdam,"€ 1,001.80",Weekday,Entire home/apt,4,FALSE,0,0,9,96,2,3.72,1.20
10,Amsterdam,€ 276.52,Weekday,Private room,2,FALSE,1,0,10,88,1,3.14,0.92
11,Amsterdam,€ 909.47,Weekday,Entire home/apt,2,FALSE,0,0,10,96,1,1.01,0.92
12,Amsterdam,€ 319.64,Weekday,Private room,2,TRUE,1,0,10,97,1,2.18,1.59
13,Amsterdam,€ 675.60,Weekday,Entire home/apt,4,FALSE,0,0,8,87,1,2.93,0.63
14,Amsterdam,€ 552.81,Weekday,Entire home/apt,2,TRUE,0,0,10,100,1,1.31,1.34
15,Amsterdam,€ 209.03,Weekday,Private room,2,FALSE,1,0,8,96,1,7.30,3.72
16,Amsterdam,€ 368.85,Weekday,Private room,2,TRUE,0,0,10,98,1,1.03,0.56
17,Amsterdam,€ 368.85,Weekday,Private room,2,FALSE,0,0,10,90,1,1.33,0.12
18,Amsterdam,€ 337.92,Weekday,Private room,2,TRUE,1,0,10,97,1,1.37,0.53
19,Amsterdam,€ 313.55,Weekday,Private room,2,TRUE,1,0,10,96,1,1.29,0.55
20,Amsterdam,€ 447.59,Weekday,Entire home/apt,2,FALSE,1,0,9,93,1,1.06,1.07
21,Amsterdam,€ 243.25,Weekday,Private room,2,TRUE,1,0,10,96,1,2.87,1.28
22,Amsterdam,€ 933.85,Weekday,Entire home/apt,4,FALSE,0,0,10,96,2,1.01,0.38
23,Amsterdam,€ 251.92,Weekday,Private room,2,FALSE,1,0,10,97,1,1.25,1.10
24,Amsterdam,€ 377.29,Weekday,Private room,2,FALSE,0,0,10,98,1,1.17,0.98
25,Amsterdam,€ 245.59,Weekday,Private room,2,TRUE,1,0,10,96,1,4.23,2.69
26,Amsterdam,€ 217.70,Weekday,Private room,2,FALSE,1,0,8,93,1,4.18,2.81
27,Amsterdam,€ 295.03,Weekday,Private room,2,FALSE,1,0,10,95,1,3.37,0.23
28,Amsterdam,€ 295.03,Weekday,Private room,2,FALSE,0,0,10,94,1,4.13,0.84
29,Amsterdam,"€ 1,032.97",Weekday,Entire home/apt,4,FALSE,1,0,9,96,2,2.16,1.42
30,Amsterdam,€ 270.43,Weekday,Private room,4,TRUE,0,0,10,98,1,4.89,1.09
31,Amsterdam,€ 524.69,Weekday,Entire home/apt,2,FALSE,0,1,9,89,1,1.13,1.12
32,Amsterdam,€ 599.68,Weekday,Entire home/apt,4,FALSE,0,0,9,94,3,3.36,0.70
33,Amsterdam,€ 516.02,Weekday,Entire home/apt,4,FALSE,0,0,9,100,2,1.07,0.38
34,Amsterdam,€ 602.25,Weekday,Entire home/apt,3,FALSE,0,0,10,100,2,3.86,0.73
35,Amsterdam,€ 504.07,Weekday,Entire home/apt,4,FALSE,0,0,9,94,2,4.08,1.87
36,Amsterdam,"€ 1,609.92",Weekday,Entire home/apt,6,FALSE,1,0,10,96,3,2.99,1.75
37,Amsterdam,€ 310.97,Weekday,Entire home/apt,2,FALSE,1,0,9,94,0,4.15,0.04
38,Amsterdam,€ 202.70,Weekday,Private room,2,FALSE,0,0,10,94,1,5.61,3.91
39,Amsterdam,€ 796.29,Weekday,Entire home/apt,4,FALSE,0,0,10,94,2,2.85,1.70
40,Amsterdam,€ 504.07,Weekday,Private room,2,FALSE,0,0,9,96,1,6.41,4.14
41,Amsterdam,€ 319.64,Weekday,Private room,2,FALSE,0,1,10,95,1,0.54,0.34
42,Amsterdam,€ 614.44,Weekday,Private room,4,FALSE,0,1,9,96,1,0.50,0.33
